"","id","cab_type_id","vendor_id","pickup_datetime","dropoff_datetime","store_and_fwd_flag","rate_code_id","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","pickup_nyct2010_gid","dropoff_nyct2010_gid","inMt","pickup.date"
"3263921",302528111,1,"2",2016-06-12 22:17:02,2016-06-12 22:39:57,"N",2,-73.7894287109375,40.6469917297363,-73.9900207519531,40.7335586547852,1,17.38,52,0,0.5,11.67,5.54,NA,0.3,70.01,"1",NA,2056,969,FALSE,2016-06-13
"2957367",301198738,4,"1",2016-06-12 20:40:51,2016-06-12 21:12:48,"N",1,-73.9961624145508,40.7632598876953,-73.9566345214844,40.6587982177734,1,9.1,30.5,0.5,0.5,6.35,0,NA,0.3,38.15,"1",NA,1164,1274,TRUE,2016-06-13
"3882574",305204613,1,"1",2016-06-12 21:36:45,2016-06-12 21:42:56,"N",1,-73.9607696533203,40.8016777038574,-73.9405364990234,40.8193092346191,1,1.8,7.5,0.5,0.5,0,0,NA,0.3,8.8,"2",NA,1328,1032,TRUE,2016-06-13
"4617071",308379246,4,"1",2016-06-12 21:59:54,2016-06-12 22:26:34,"N",1,-73.983154296875,40.761116027832,-73.8589248657227,40.6951675415039,1,10.8,32.5,0.5,0.5,0,0,NA,0.3,33.8,"2",NA,1283,537,TRUE,2016-06-13
"1170484",293475956,4,"1",2016-06-12 23:42:11,2016-06-12 23:51:30,"N",1,-73.9800491333008,40.7834739685059,-73.9874114990234,40.7736167907715,1,1.6,8.5,0.5,0.5,0,0,NA,0.3,9.8,"1",NA,1945,1741,TRUE,2016-06-13
"2000281",297060849,1,"1",2016-06-12 23:16:27,2016-06-12 23:23:23,"N",1,-73.9661483764648,40.7578430175781,-73.9876708984375,40.7475967407227,1,1.9,8,0.5,0.5,2.25,0,NA,0.3,11.55,"1",NA,923,2000,TRUE,2016-06-13
"1350796",294252064,4,"1",2016-06-12 22:07:44,2016-06-12 22:18:20,"N",1,-74.0033569335938,40.7252235412598,-73.9544830322266,40.7169532775879,1,3.3,12.5,0.5,0.5,4.1,0,NA,0.3,17.9,"1",NA,1808,1137,TRUE,2016-06-13
"1712905",295820111,1,"2",2016-06-12 21:51:17,2016-06-12 22:07:28,"N",1,-74.0100021362305,40.7210464477539,-73.9854125976562,40.76953125,2,4.28,15,0.5,0.5,4.08,0,NA,0.3,20.38,"1",NA,1806,1346,TRUE,2016-06-13
"4981928",309955894,4,"1",2016-06-12 21:19:12,2016-06-12 21:45:59,"N",1,-73.9784545898438,40.785774230957,-73.9845428466797,40.6596298217773,1,10.9,32.5,0.5,0.5,4,5.54,NA,0.3,43.34,"1",NA,1702,1245,TRUE,2016-06-13
"1078813",293079011,1,"2",2016-06-12 22:31:51,2016-06-12 22:42:01,"N",1,-73.9422836303711,40.7864685058594,-73.939826965332,40.8116798400879,1,2.58,10.5,0.5,0.5,0,0,NA,0.3,11.8,"2",NA,1706,1596,TRUE,2016-06-13
"5577830",312536523,1,"2",2016-06-12 21:51:50,2016-06-12 21:56:07,"N",1,-73.9821319580078,40.7311401367188,-73.9826278686523,40.7231407165527,5,0.72,5,0.5,0.5,0,0,NA,0.3,6.3,"2",NA,2146,10,TRUE,2016-06-13
"3288098",302633006,4,"1",2016-06-12 21:15:01,2016-06-12 21:18:03,"N",1,-73.9903259277344,40.760871887207,-73.9854125976562,40.7632102966309,1,0.4,4,0.5,0.5,1.05,0,NA,0.3,6.35,"1",NA,1162,1283,TRUE,2016-06-13
"5695462",313044673,1,"2",2016-06-12 20:09:17,2016-06-12 20:18:21,"N",1,-74.0166549682617,40.6356391906738,-73.9762954711914,40.6375198364258,5,5.6,17,0.5,0.5,0,0,NA,0.3,18.3,"2",NA,1579,237,FALSE,2016-06-13
"2056454",297303742,4,"2",2016-06-12 23:56:44,2016-06-13 00:07:19,"N",1,-73.9889221191406,40.7365684509277,-73.9484710693359,40.7552909851074,3,4.32,13.5,0.5,0.5,1,0,NA,0.3,15.8,"1",NA,2036,1071,TRUE,2016-06-13
"4630274",308436206,4,"1",2016-06-12 22:05:38,2016-06-12 22:11:45,"N",1,-74.0074081420898,40.7279205322266,-73.9862442016602,40.7401237487793,1,2.1,8.5,0.5,0.5,1.4,0,NA,0.3,11.2,"1",NA,1805,11,TRUE,2016-06-13
"652684",36694901,2,"1",2016-06-12 23:02:28,2016-06-12 23:07:20,"N",1,-73.9576187133789,40.7179336547852,-73.9576187133789,40.7223472595215,1,0.4,5,0.5,0.5,0,0,NA,0.3,6.3,"4",1,267,1100,FALSE,2016-06-13
"2211229",297969920,4,"2",2016-06-12 20:57:17,2016-06-12 21:04:23,"N",1,-73.9148406982422,40.763729095459,-73.902099609375,40.7511711120605,6,1.35,7,0.5,0.5,0,0,NA,0.3,8.3,"1",NA,584,607,FALSE,2016-06-13
"648916",36687359,2,"2",2016-06-12 21:30:09,2016-06-12 21:52:16,"N",1,-73.9510040283203,40.724048614502,-73.8547668457031,40.7528419494629,1,7.81,25,0.5,0.5,0,0,NA,0.3,26.3,"1",1,275,646,FALSE,2016-06-13
"652409",36694330,5,"2",2016-06-12 23:31:59,2016-06-12 23:52:47,"N",1,-73.9987640380859,40.6799354553223,-73.9801330566406,40.756233215332,1,6.43,20.5,0.5,0.5,3,0,NA,0.3,24.8,"1",1,63,13,FALSE,2016-06-13
"1235168",293753243,1,"1",2016-06-12 20:02:34,2016-06-12 20:07:48,"N",1,-73.9846649169922,40.7587280273438,-73.9876708984375,40.7687301635742,1,1.2,6,0.5,0.5,1.8,0,NA,0.3,9.1,"1",NA,902,970,TRUE,2016-06-13
"3120562",301907995,1,"1",2016-06-12 22:39:33,2016-06-12 22:57:51,"N",1,-73.9543228149414,40.821361541748,-73.9787750244141,40.7370567321777,1,7.8,24.5,0.5,0.5,2,0,NA,0.3,27.8,"1",NA,1582,922,TRUE,2016-06-13
"1371806",294343974,4,"2",2016-06-12 21:01:22,2016-06-12 21:06:18,"N",1,-73.9502563476562,40.7613906860352,-73.9458389282227,40.7557182312012,1,1.42,6.5,0.5,0.5,0,0,NA,0.3,7.8,"1",NA,1897,1260,TRUE,2016-06-13
"3615842",304055358,4,"1",2016-06-12 21:42:19,2016-06-12 21:51:24,"N",1,-73.9718627929688,40.7629776000977,-73.9539947509766,40.8014907836914,1,3.4,11.5,0.5,0.5,3,0,NA,0.3,15.8,"1",NA,19,1836,TRUE,2016-06-13
"4820310",309260369,1,"2",2016-06-12 20:24:54,2016-06-12 20:29:03,"N",1,-73.9750213623047,40.7925758361816,-73.9746780395508,40.7880401611328,2,0.52,4.5,0.5,0.5,0,0,NA,0.3,5.8,"2",NA,1703,905,TRUE,2016-06-13
"3919290",305364390,4,"2",2016-06-12 22:06:41,2016-06-12 22:31:10,"N",1,-73.9864273071289,40.7564888000488,-73.9836807250977,40.6662406921387,1,7.17,24,0.5,0.5,6.32,0,NA,0.3,31.62,"1",NA,901,91,TRUE,2016-06-13
"645738",36681073,2,"2",2016-06-12 20:39:59,2016-06-12 20:42:00,"N",1,-73.9527206420898,40.7270278930664,-73.9499893188477,40.7222595214844,2,0.36,3.5,0.5,0.5,1.2,0,NA,0.3,6,"1",1,1013,275,FALSE,2016-06-13
"5138771",310636405,1,"1",2016-06-12 22:00:10,2016-06-12 22:30:51,"N",1,-73.9977645874023,40.7638778686523,-73.9536361694336,40.7197380065918,4,9.7,32,0.5,0.5,3,0,NA,0.3,36.3,"1",NA,1164,251,TRUE,2016-06-13
"647658",36684917,2,"2",2016-06-12 20:03:42,2016-06-12 20:14:30,"N",1,-73.9630966186523,40.7118530273438,-73.9848098754883,40.6892929077148,1,4.06,13.5,0.5,0.5,2.96,0,NA,0.3,17.76,"1",1,1604,1465,FALSE,2016-06-13
"648360",36686359,2,"1",2016-06-12 20:36:06,2016-06-12 20:57:26,"N",1,-73.9900131225586,40.6872291564941,-73.9306945800781,40.6733436584473,1,3.8,17,0.5,0.5,0,0,NA,0.3,18.3,"2",1,1626,1352,FALSE,2016-06-13
"651904",36693381,2,"1",2016-06-12 22:00:27,2016-06-12 22:03:31,"N",1,-73.8891372680664,40.7470932006836,-73.8793334960938,40.7480735778809,2,0.5,4,0.5,0.5,0,0,NA,0.3,5.3,"3",1,625,610,FALSE,2016-06-13
"5452951",311994524,4,"1",2016-06-12 20:39:39,2016-06-12 20:55:50,"N",1,-74.0046844482422,40.7424812316895,-73.9519348144531,40.7780838012695,1,4.6,15.5,0.5,0.5,3.02,0,NA,0.3,19.82,"1",NA,1355,27,TRUE,2016-06-13
"3120137",301906034,4,"1",2016-06-12 20:03:14,2016-06-12 20:17:35,"N",1,-73.9911575317383,40.7278327941895,-73.9434356689453,40.7073516845703,1,3.5,14.5,0.5,0.5,2.5,0,NA,0.3,18.3,"1",NA,1470,244,TRUE,2016-06-13
"5587135",312576932,4,"1",2016-06-12 20:20:43,2016-06-12 20:28:38,"N",1,-73.9506378173828,40.7750854492188,-73.9367980957031,40.7999038696289,2,2.1,8.5,0.5,0.5,0,0,NA,0.3,9.8,"2",NA,2047,1768,TRUE,2016-06-13
"3365385",302968308,4,"2",2016-06-12 20:43:04,2016-06-12 21:03:07,"N",1,-73.9874877929688,40.7553825378418,-73.9180603027344,40.8686752319336,1,9.92,29.5,0.5,0.5,4,0,NA,0.3,34.8,"1",NA,21,1225,TRUE,2016-06-13
"651187",36691998,5,"2",2016-06-12 22:42:59,2016-06-12 22:52:46,"N",1,-73.890380859375,40.7464408874512,-73.8619766235352,40.7352523803711,1,2.13,9,0.5,0.5,0,0,NA,0.3,10.3,"2",1,813,1219,FALSE,2016-06-13
"987294",292683384,4,"2",2016-06-12 22:14:24,2016-06-12 22:20:38,"N",1,-74.0029525756836,40.733470916748,-74.0053634643555,40.7112083435059,2,1.9,8,0.5,0.5,3,0,NA,0.3,12.3,"1",NA,1443,1435,TRUE,2016-06-13
"673824",291334294,4,"1",2016-06-12 22:51:58,2016-06-12 22:55:07,"N",1,-74.0064697265625,40.743896484375,-74.0041122436523,40.7427787780762,1,0.2,4,0.5,0.5,1.05,0,NA,0.3,6.35,"1",NA,1355,1355,TRUE,2016-06-13
"3859004",305102374,4,"2",2016-06-12 21:34:38,2016-06-12 21:37:15,"N",1,-73.9496841430664,40.7805976867676,-73.9558486938477,40.7752914428711,2,0.61,4,0.5,0.5,0,0,NA,0.3,5.3,"2",NA,31,2048,TRUE,2016-06-13
"730142",291575255,1,"2",2016-06-12 20:45:48,2016-06-12 21:10:15,"N",1,-73.9715042114258,40.7629432678223,-73.7834701538086,40.7243156433105,1,13.06,37,0.5,0.5,5,0,NA,0.3,43.3,"1",NA,19,1415,TRUE,2016-06-13
"652030",36693581,2,"2",2016-06-12 23:18:39,2016-06-12 23:25:01,"N",1,-73.8831787109375,40.7476577758789,-73.8575897216797,40.7540588378906,1,1.53,7,0.5,0.5,0,0,NA,0.3,8.3,"2",1,610,648,FALSE,2016-06-13
"4835622",309325360,4,"1",2016-06-12 21:31:27,2016-06-12 21:36:17,"N",1,-73.9856719970703,40.7566413879395,-73.987434387207,40.7655029296875,2,0.9,5.5,0.5,0.5,1.35,0,NA,0.3,8.15,"1",NA,901,1161,TRUE,2016-06-13
"3620537",304075809,1,"1",2016-06-12 20:33:54,2016-06-12 20:47:15,"N",1,-74.0056533813477,40.736888885498,-73.9685897827148,40.7647895812988,1,3.4,13,0.5,0.5,0,0,NA,0.3,14.3,"2",NA,1358,1251,TRUE,2016-06-13
"3131788",301957324,4,"1",2016-06-12 20:35:58,2016-06-12 20:53:19,"N",1,-73.8707885742188,40.7737770080566,-73.9718704223633,40.7494926452637,1,10.3,29,0.5,0.5,8.95,5.54,NA,0.3,44.79,"1",NA,1840,1431,FALSE,2016-06-13
"3159947",302079871,1,"2",2016-06-12 20:12:19,2016-06-12 20:20:30,"N",1,-74.0046081542969,40.7333297729492,-73.9964370727539,40.7597808837891,1,2.71,10,0.5,0.5,0,0,NA,0.3,11.3,"2",NA,1443,2099,TRUE,2016-06-13
"4261390",306843724,4,"1",2016-06-12 20:39:47,2016-06-12 20:48:37,"N",1,-73.9770126342773,40.722354888916,-73.9789047241211,40.7404708862305,1,1.8,8.5,0.5,0.5,0,0,NA,0.3,9.8,"2",NA,915,1525,TRUE,2016-06-13
"3849917",305062125,1,"1",2016-06-12 20:52:40,2016-06-12 20:56:31,"N",1,-73.9839324951172,40.7605895996094,-73.991455078125,40.7599334716797,3,0.5,4.5,0.5,0.5,1.15,0,NA,0.3,6.95,"1",NA,902,1163,TRUE,2016-06-13
"4354184",307244807,1,"2",2016-06-12 22:16:53,2016-06-12 22:19:47,"N",1,-73.9702682495117,40.7649917602539,-73.9588317871094,40.7808952331543,1,1.33,5.5,0.5,0.5,1.36,0,NA,0.3,8.16,"1",NA,1251,1098,TRUE,2016-06-13
"5185920",310841608,4,"1",2016-06-12 21:11:31,2016-06-12 21:15:58,"N",1,-73.9781341552734,40.7629661560059,-73.9757537841797,40.7578620910645,3,0.6,5,0.5,0.5,1.25,0,NA,0.3,7.55,"1",NA,17,16,TRUE,2016-06-13
"646085",36681716,5,"2",2016-06-12 20:43:25,2016-06-12 20:48:56,"N",1,-73.8911972045898,40.7468605041504,-73.8730163574219,40.7508888244629,1,1.11,6,0.5,0.5,0,0,NA,0.3,7.3,"2",1,813,615,FALSE,2016-06-13
"4178811",306484931,1,"1",2016-06-12 20:27:26,2016-06-12 20:38:42,"N",1,-74.0043258666992,40.747745513916,-73.9554977416992,40.776554107666,1,4.2,13.5,0.5,0.5,4.4,0,NA,0.3,19.2,"1",NA,2098,2048,TRUE,2016-06-13
"2225254",298030503,1,"1",2016-06-12 20:27:47,2016-06-12 20:51:02,"N",1,-74.0056457519531,40.7404708862305,-73.9388275146484,40.8555679321289,1,9.5,29,0.5,0.5,5,0,NA,0.3,35.3,"1",NA,1359,1494,TRUE,2016-06-13
"1874702",296520232,4,"1",2016-06-12 22:11:06,2016-06-12 22:14:24,"N",1,-73.8663711547852,40.7711639404297,-73.867546081543,40.7679138183594,3,1,5,0.5,0.5,0,0,NA,0.3,6.3,"2",NA,1840,1097,FALSE,2016-06-13
"3507872",303583987,1,"2",2016-06-12 20:18:05,2016-06-12 20:31:22,"N",1,-73.9945297241211,40.7506294250488,-73.9788284301758,40.7822799682617,1,2.41,11,0.5,0.5,3.08,0,NA,0.3,15.38,"1",NA,899,1343,TRUE,2016-06-13
"2437162",298947011,1,"1",2016-06-12 20:08:52,2016-06-12 20:23:11,"N",1,-73.9850006103516,40.6974029541016,-74.0045776367188,40.7519607543945,1,4.9,16,0.5,0.5,4.3,0,NA,0.3,21.6,"1",NA,1480,2098,FALSE,2016-06-13
"2538989",299388927,1,"1",2016-06-12 22:34:45,2016-06-12 22:44:36,"N",1,-73.977409362793,40.7726516723633,-73.9996490478516,40.7394561767578,1,2.8,10,0.5,0.5,2.25,0,NA,0.3,13.55,"1",NA,1835,1165,TRUE,2016-06-13
"4134318",306292933,1,"1",2016-06-12 21:33:17,2016-06-12 21:39:52,"N",1,-74.0079498291016,40.7409400939941,-74.0006484985352,40.7339172363281,2,1,6,0.5,0.5,1.45,0,NA,0.3,8.75,"1",NA,1359,1442,TRUE,2016-06-13
"1878497",296535971,1,"1",2016-06-12 23:34:15,2016-06-12 23:52:11,"N",1,-73.9945831298828,40.7506256103516,-73.9289093017578,40.7489242553711,1,5.6,18.5,0.5,0.5,0,0,NA,0.3,19.8,"2",NA,899,1930,TRUE,2016-06-13
"4560364",308135209,1,"2",2016-06-12 20:47:54,2016-06-12 20:54:38,"N",1,-73.9481658935547,40.7703895568848,-73.9765167236328,40.7188682556152,1,4.19,13,0.5,0.5,2.86,0,NA,0.3,17.16,"1",NA,1953,1369,TRUE,2016-06-13
"3330259",302815013,1,"1",2016-06-12 22:30:35,2016-06-12 23:01:06,"N",1,-74.0058212280273,40.7405471801758,-73.9309387207031,40.6706581115723,1,7.6,27,0.5,0.5,4,0,NA,0.3,32.3,"1",NA,1359,884,TRUE,2016-06-13
"2096317",297474231,1,"1",2016-06-12 21:24:31,2016-06-12 21:40:15,"N",1,-74.0074615478516,40.7155609130859,-73.9546737670898,40.687084197998,2,4.3,16,0.5,0.5,2,0,NA,0.3,19.3,"1",NA,1807,127,TRUE,2016-06-13
"5798030",313487039,1,"2",2016-06-12 21:16:57,2016-06-12 21:29:49,"N",1,-73.8729476928711,40.7741088867188,-73.9896469116211,40.7036170959473,2,10.37,28.5,0.5,0.5,2,0,NA,0.3,31.8,"1",NA,1840,2040,FALSE,2016-06-13
"5091697",310430038,4,"2",2016-06-12 22:30:14,2016-06-12 22:48:39,"N",1,-73.9878997802734,40.7183113098145,-73.9081802368164,40.678108215332,1,5.13,18,0.5,0.5,0,0,NA,0.3,19.3,"2",NA,1475,1676,TRUE,2016-06-13
"3473445",303436267,1,"1",2016-06-12 20:01:47,2016-06-12 20:19:28,"N",1,-73.8706817626953,40.7736930847168,-73.9475555419922,40.7792091369629,2,7.8,24,0.5,0.5,6.15,5.54,NA,0.3,36.99,"1",NA,1840,1537,FALSE,2016-06-13
"3190609",302212135,1,"1",2016-06-12 23:25:26,2016-06-12 23:50:22,"N",1,-73.9798049926758,40.7433090209961,-74.0024566650391,40.6070556640625,2,13.3,38,0.5,0.5,0,0,NA,0.3,39.3,"1",NA,1526,160,TRUE,2016-06-13
"2088077",297439404,4,"2",2016-06-12 20:58:20,2016-06-12 21:14:27,"N",1,-73.9992599487305,40.7544364929199,-73.944694519043,40.7799797058105,1,4.7,16,0.5,0.5,3.46,0,NA,0.3,20.76,"1",NA,2098,1537,TRUE,2016-06-13
"4077549",306047615,1,"2",2016-06-12 22:38:46,2016-06-12 23:04:28,"N",1,-73.7895812988281,40.646900177002,-73.9443435668945,40.6809616088867,1,11.22,32.5,0.5,0.5,5,0,NA,0.3,38.8,"1",NA,2056,153,FALSE,2016-06-13
"2386243",298727047,1,"1",2016-06-12 21:19:16,2016-06-12 21:28:23,"N",1,-74.0063858032227,40.7331848144531,-73.9782943725586,40.7509307861328,1,2.5,10,0.5,0.5,0,0,NA,0.3,11.3,"2",NA,1430,1413,TRUE,2016-06-13
"645695",36681030,5,"2",2016-06-12 20:00:02,2016-06-12 20:09:56,"N",1,-73.973762512207,40.6860198974609,-73.9438781738281,40.7194862365723,1,3.3,12,0.5,0.5,2.66,0,NA,0.3,15.96,"1",1,1439,1043,FALSE,2016-06-13
"4178354",306483088,4,"1",2016-06-12 21:04:46,2016-06-12 21:15:04,"N",1,-73.789794921875,40.6472511291504,-73.856803894043,40.6669883728027,1,6.2,18.5,0.5,0.5,0,0,NA,0.3,19.8,"2",NA,2056,1663,FALSE,2016-06-13
"1762117",296032819,1,"1",2016-06-12 20:26:18,2016-06-12 20:35:05,"N",1,-73.9981307983398,40.7179260253906,-73.9865417480469,40.7265663146973,2,1.2,7.5,0.5,0.5,1,0,NA,0.3,9.8,"1",NA,1476,1470,TRUE,2016-06-13
"4890304",309561235,1,"2",2016-06-12 20:46:10,2016-06-12 21:02:41,"N",1,-73.9894256591797,40.7229118347168,-73.9397583007812,40.6912155151367,1,5.16,17.5,0.5,0.5,2,0,NA,0.3,20.8,"1",NA,1473,1496,TRUE,2016-06-13
"3999496",305711590,4,"2",2016-06-12 20:10:06,2016-06-12 20:17:04,"N",1,-73.9867095947266,40.7561149597168,-73.9626846313477,40.7587127685547,5,1.61,7.5,0.5,0.5,0,0,NA,0.3,8.8,"2",NA,901,923,TRUE,2016-06-13
"648793",36687236,5,"2",2016-06-12 21:30:35,2016-06-12 21:38:07,"N",1,-73.9805755615234,40.6809730529785,-73.962776184082,40.6773796081543,1,1.16,6.5,0,0.5,0,0,NA,0.3,7.3,"2",1,1831,1804,FALSE,2016-06-13
"1452800",294696063,1,"2",2016-06-12 20:05:35,2016-06-12 20:15:55,"N",1,-73.7767639160156,40.645378112793,-73.8171157836914,40.7127113342285,1,6.46,19,0.5,0.5,4.06,0,NA,0.3,24.36,"1",NA,2056,996,FALSE,2016-06-13
"2846725",300718436,4,"1",2016-06-12 22:47:16,2016-06-12 22:53:08,"N",1,-73.9572601318359,40.7143974304199,-73.9398345947266,40.7074089050293,1,1.4,7,0.5,0.5,2.05,0,NA,0.3,10.35,"1",NA,1137,1882,FALSE,2016-06-13
"5733771",313209390,4,"2",2016-06-12 22:09:35,2016-06-12 22:18:20,"N",1,-73.9792938232422,40.7531394958496,-73.948860168457,40.796573638916,5,3.54,11.5,0.5,0.5,2.56,0,NA,0.3,15.36,"1",NA,1249,1400,TRUE,2016-06-13
"1075780",293065608,4,"1",2016-06-12 20:09:38,2016-06-12 20:14:12,"N",1,-73.9595794677734,40.7711372375488,-73.9604949951172,40.7638130187988,1,1.2,6,0.5,0.5,0,0,NA,0.3,7.3,"2",NA,1242,1974,TRUE,2016-06-13
"953541",292538073,1,"1",2016-06-12 20:27:22,2016-06-12 20:39:34,"N",1,-73.9842910766602,40.743106842041,-73.9518814086914,40.7872581481934,1,3.5,13,0.5,0.5,2,0,NA,0.3,16.3,"1",NA,934,1178,TRUE,2016-06-13
"5777439",313398781,1,"2",2016-06-12 20:02:15,2016-06-12 20:19:21,"N",1,-73.8627014160156,40.7687835693359,-73.9729766845703,40.7549781799316,1,9.43,27,0.5,0.5,6.77,5.54,NA,0.3,40.61,"1",NA,1840,1250,FALSE,2016-06-13
"1716765",295836624,4,"2",2016-06-12 21:25:07,2016-06-12 21:26:58,"N",1,-73.9532699584961,40.6806602478027,-73.9553451538086,40.690746307373,1,0.72,4,0.5,0.5,0,0,NA,0.3,5.3,"1",NA,136,2123,FALSE,2016-06-13
"4735663",308893035,1,"2",2016-06-12 20:31:21,2016-06-12 20:49:28,"N",1,-73.9927062988281,40.7151298522949,-73.8542785644531,40.7419586181641,1,9.1,27,0.5,0.5,0,0,NA,0.3,28.3,"2",NA,953,1674,TRUE,2016-06-13
"1376996",294366820,4,"2",2016-06-12 23:41:25,2016-06-12 23:44:56,"N",1,-73.9869232177734,40.7613143920898,-73.9804077148438,40.7643661499023,1,0.8,5,0.5,0.5,0,0,NA,0.3,6.3,"2",NA,1162,1284,TRUE,2016-06-13
"1793164",296168011,1,"2",2016-06-12 20:59:26,2016-06-12 21:10:08,"N",1,-73.9410400390625,40.799430847168,-73.9401779174805,40.8262519836426,1,2.6,10.5,0.5,0.5,0,0,NA,0.3,11.8,"2",NA,1766,857,TRUE,2016-06-13
"3999462",305711488,4,"2",2016-06-12 21:49:28,2016-06-12 21:56:16,"N",1,-73.9846649169922,40.7560005187988,-73.991569519043,40.7455596923828,1,1.75,7.5,0.5,0.5,1.76,0,NA,0.3,10.56,"1",NA,901,1155,TRUE,2016-06-13
